id,title,text,misinformation,views
1570, Paul Ryan Takes A Monumentally HUMILIATING Photo With A Constituent Who EXPERTLY Trolled Him (IMAGE),"Politicians are all about photo-ops. This is especially true of high-ranking, smarmy types like House Speaker Paul Ryan. However, Speaker Ryan s opportunism got the best of him during the congressional break this weekend, when he wound up taking a picture with a #RESISTANCE activist while Ryan himself was wearing an apron at a shelter of some sort and pretending to care about people.Of course, the members of Congress are taking their break amid the worst, most cruel and craven healthcare bill that has been passed in living memory, and millions of Americans are understandably upset at the prospect of the Republicans taking their healthcare away as these rich assholes celebrate in the White House Rose Garden with Donald Trump. After all, all the House GOP cares about is a win for their egotistical orange  president.  Therefore, it should come as no surprise that a  protester wearing a  Pod Save America  t-shirt that read Repeal and go f*ck yourself,  and that was signed  GOP,  took the opportunity to troll Speaker Ryan so expertly. Here is the shot, via Twitter:Couple friends of the pod hanging out this morning. @jonfavs @jonlovett @TVietor08 pic.twitter.com/aT3nqiyOlu  J (@Minnysconsin) May 6, 2017So, in other words, either Paul Ryan KNOWS people hate him around the nation, or he is too ignorant to realize how much people hate him. Or, most likely, he s been in Congress so long he thinks he cannot get voted out, and therefore doesn t care what his policies do to ordinary Americans   up to an including death   just so long as he and his rich buddies get their tax cuts. The latter is the most likely scenario, and we should all remember that. Wisconsinites   look at who this guy is. VOTE. HIM. OUT. SHOCK HIM in 2018. For this  speaker  into early retirement, and install a Democratic government that will work for you, not the rich.Featured image via Drew Angerer/Getty Images",True,83950
25672,Trump to sign executive order Tuesday on infrastructure projects,"WASHINGTON (Reuters) - President Donald Trump will sign an executive order on Tuesday “establishing discipline and accountability in the environmental review and permitting process for infrastructure projects,” the White House said in a statement on Monday. Trump, who is visiting his residence at Trump Tower in New York City, will also participate in a discussion on infrastructure and give a statement on the subject at 3:45 p.m. (1945 GMT). The White House did not give additional details on the executive order. Trump, who was a real estate developer before becoming president, made rebuilding the country’s crumbling infrastructure a top campaign issue. He has proposed leveraging $200 billion in government spending into $1 trillion of projects to privatize the air traffic control system, strengthen rural infrastructure and repair bridges, roads and waterways. In June, Trump said one of the biggest obstacles to new infrastructure projects was “the painfully slow, costly and time-consuming process for getting permits and approvals to build.” ",False,45153
33620,Wisconsin governor backs Republican Ted Cruz in presidential race,"WASHINGTON (Reuters) - Republican presidential candidate Ted Cruz won the backing on Tuesday of Wisconsin Governor Scott Walker, gaining a boost in the contentious three-way race a week before that state’s presidential primary. Walker, himself a former Republican presidential candidate, emphasized he was not endorsing the U.S. senator from Texas in an effort to thwart Republican front-runner Donald Trump from clinching the party’s nomination for the Nov. 8 election. “To me, I’m all in,” Walker said in a radio interview on WTMJ radio in Milwaukee. He said he planned to campaign for Cruz throughout the state before the April 5 Wisconsin primary. Wisconsin polls, though scarce, show Trump and Cruz running neck-and-neck in the state. A recent Emerson poll showed Cruz taking 36 percent and Trump with 35 percent. Ohio Governor John Kasich lagged in third place, with 19 percent. Walker said he chose to back Cruz because he was a principled constitutional conservative who would stand up to big government special interests and give power to the states.  “I just fundamentally believe if you look at the facts, if you look at the numbers, that Ted Cruz is in the best position by far to both win the nomination of the Republican Party and to then go on and defeat Hillary Clinton in the fall this year,” Walker said.  Walker’s endorsement adds to a number of other more mainstream Republicans stepping up behind Cruz as the best alternative to Trump, who has racked up a strong delegate lead but alienated many party leaders with his harsh views on immigration, Muslims and women. ",False,46656
5411, Hillary Clinton BLASTS Steve King’s Blatant Racism: ‘This Is Literally White Supremacy’,"Hillary Clinton is making sure that the shockingly racist comments made by Rep. Steve King (R-Iowa) don t slip by her supporters. An email was sent out by the Clinton camp calling out King s bigotry with a subject line that read: This is literally white supremacy. The fundraising appeal, written by Clinton deputy communications director Christina Reynolds, pointed out that this kind of racism has become synonymous with the Trump campaign.King s comments were widely reported as a textbook example of white supremacy, and it wasn t the first time the Party of Trump has had a disturbing connection to white supremacy in recent months.The campaign email continues, reminding readers of former Ku Klux Klan leader David Duke s endorsement of the bigoted billionaire, as well as Trump s failure to disavow the former Grand Wizard and the KKK in general. The Republican nominee eventually gave a half-hearted condemnation of the infamous hate group and blamed his prior failure to do so on a faulty earpiece.The email also noted Trump s recent anti-Semitic tweet that featured Clinton s picture, on a background of $100 bills, with a Star of David that had the words  Most Corrupt Candidate Ever  written in it. We re taking this seriously. Our country was founded on the idea that we are all created equal, no matter the color of our skin, the faith we practice, or who we love,  Reynolds wrote.  We re going to keep calling Trump out on the deplorable ideas he perpetuates, and we re going to keep fighting to win the White House this November   not just by a few votes, but by an overwhelming majority   to show Trump, white supremacists, and the world in no uncertain terms that here in America, we don t stand for hatred. During King s appearance on MSNBC Monday night, Esquire s Charlie Pierce pointed out that the overwhelming majority of speakers at the Republican National Convention were white, and the Iowa Republican went full on racist. This whole business does get a little tired, Charlie. I would ask you to go back through history and figure out where are these contributions that have been made by these other categories of people you are talking about, where did any other subgroup of people contribute more to civilization?  King asked.Co-host Chris Hayes asked,  Than white people? Than Western civilization itself. That s rooted in Western Europe, Eastern Europe and the United States of America, and every place where the footprint Christianity settled the world,  King said.  That s all of Western civilization. Featured image via Ethan Miller/Getty Images",True,59101
36229,Venezuela's chronic shortages give rise to 'medical flea markets',"SAN CRISTOBAL/MARACAIBO, Venezuela (Reuters) - Venezuela s critical medicine shortage has spurred  medical flea markets,  where peddlers offer everything from antibiotics to contraceptives laid out among the traditional fruits and vegetables.  The crisis-wrought Latin American nation is heaving under worsening scarcity of drugs, as well as basic foods, due to tanking national production and strict currency controls that crimp imports.  The local pharmaceutical association estimates at any given time, there is a shortage of around 85 percent of drugs. Sick Venezuelans often scour pharmacies and send pleas on social media to find treatment. Increasingly, however, they are turning to a flourishing black market offering medicines surreptitiously bought from Venezuelan hospitals or smuggled in from neighboring Colombia.  Here I can find the vitamins I need for my memory,  said 56-year-old Marisol Salas, who suffered a stroke, as she bought the pills at a small stand at the main bus terminal in the Andean city of San Cristobal.  Around her, Venezuelans asked sellers for medicine to control blood pressure as well as birth control pills.   People are looking for anticonvulsants a lot recently,  said Antuam Lopez, 30, who sells medicine alongside vegetables, and said hospital employees usually provide him with the drugs.  Leftist President Nicolas Maduro says resellers are in league with a U.S.-led conspiracy to sabotage socialism and are to blame for medicine shortages.  In the middle of a market in the humid and sweltering city of Maracaibo, dozens of boxes full of medicines including antibiotics and pain killers are stacked on top of each other. The packaging is visibly deteriorated: The cases are discolored and some are even dirty.  Doctors warn these drugs   usually smuggled in from Colombia, a few hours  drive from Maracaibo   pose risks.   We ve found that a lot of them have not been maintained at proper temperatures,  warned oncologist Jose Oberto, who leads the Zulia state s doctors association.  Still, some Venezuelans feel they have no choice but to rely on contraband medicine.   I had to buy medicine from Colombia, and it worried me  because the label said  hospital use,  said retiree Esledy Paez, 62. But they are often prohibitively expensive for Venezuelans, many of whom earn just a handful of dollars a month at the black market rate due to soaring inflation.  Norkis Pabon struggled to find antibiotics for her hospitalized husband to prevent his foot injury from worsening due to diabetes.   But the treatment costs 900,000 bolivars ($9.43; twice the minimum wage) and I do not know what to do,  said Pabon, who is unemployed.  ",False,94765
41013,Israeli minister says Trump speech may start war with Iran,"JERUSALEM (Reuters) - Israel s intelligence minister said U.S. President Donald Trump s speech against the 2015 international nuclear deal with Iran on Friday was  very significant  and could lead to war given threats that preceded it from Tehran. Israel s Channel 2 TV asked Intelligence Minister Israel Katz whether he saw a risk of war after Trump s speech.  Absolutely, yes. I think that the speech was very significant,  Katz responded.  Iran is the new North Korea. We see where things are goings.  ",False,33999
34628,Davos elite alarmed at prospect of nominee Trump," DAVOS, Switzerland (Reuters) - “Unbelievable”, “embarrassing” even “dangerous” are some of the words the financial elite gathered at the World Economic Forum conference in the Swiss resort of Davos have been using to describe U.S. Republican presidential frontrunner Donald Trump.  Although some said they still expected his campaign to founder before his party picks its nominee for the November election many said it was no longer unthinkable that he could be the Republican candidate.  Some noted that whatever the outcome, a heated campaign, which has also seen self-proclaimed Socialist Bernie Sanders provide a tough challenge to former Secretary of State Hillary Clinton for the Democratic nomination, could alter the U.S. political environment, giving vent to new populist anger on both sides of the political divide.  Trump's nationalist rhetoric, particularly proposals to ban Muslims from entering the United States, tax goods made abroad and build a wall on the Mexican border, were never the sort of thing to appeal to the free trade crowd that typically gathers at events like the annual Davos economic forum.  “Clearly it is not a rhetoric that is inviting for integration,” said Chile’s Finance Minister, Rodrigo Valdes, referring to his comments on the campaign trail.  “In Chile we have a deep view that integration of the Americas is a good thing, whether it is goods, financing and yes people. So I’d be happier with a more welcoming rhetoric.”  Among the present and former government officials in the Swiss resort was Eric Cantor, former Republican majority leader in the U.S. House of Representatives, now vice-chairman of Moelis & Co, an investment bank. Like much of the Republican party’s establishment, he had cold words for Trump.  “He’s not serious. He’s amazing at promoting his personal brand and reflecting an underlying anger at home,” Cantor said.  “Trump Fever is an unsustainable phenomenon that will not translate into a victory for the candidate.”  But for Ray Nolte, chief investment officer of Skybridge Capital, a $13 billion hedge fund whose founder has supported other Republican candidates including Jeb Bush, such establishment pronouncements sound like wishful thinking.  “Is Donald going to be the nominee? I don’t know. It’s sure looking that way now,” Nolte said. “Anyone here (at Davos) who is in the mainstream says there is no way he could possibly get the nomination. When I hear that, it probably means it is going to happen.”  Noting the challenge to Clinton from Sanders, which he said could pull her to the left on issues like financial regulation, Nolte said institutional investors were already paying attention to the prospect of increased U.S. political volatility from the election.  Arianna Huffington, whose Huffington Post news website once insisted on covering Trump, a former reality TV star, as an entertainment figure rather than a politician, said the site reversed its policy once he announced his proposal to ban Muslims from entering the United States, which made him too ""dangerous"" to ignore.   “I feel the mainstreaming of Donald Trump, instead of him being treated as an extreme, dangerous candidate, is really the most troubling aspect of American politics right now,” she said.  “He’s being interviewed on all the main shows, and he’s being asked questions about what his first State of the Union address would be like if he wins, instead of actually being forced to answer the tough questions about his policy, especially his policy of wanting to ban Muslims from entering the U.S., which is so dangerous, so un-American and should really be the center of the coverage of Trump.”  For Dominic Barton, global managing director for business consultancy McKinsey, Trump has turned the political campaign itself into “entertainment”, which could hurt the global image of the United States.  “It’s a bit embarrassing globally. But I think there’s a big difference between the rhetoric and the reality, and I think most people will see that and discount it. But it’s incredible how long its been going for. It’s just unbelievable,” he said.  But not everyone is worried. Sandeep Dadlani, executive vice president of Indian outsourcing firm Infosys, said his firm has earned the majority of its revenue in the United States for more than 30 years.  ""We have seen many elections come and go. It is common in all election seasons for rhetoric and extreme personalities to shine. Inevitably we have found governments from both sides to eventually come up with sensible policies,"" he said.   (Reporting by Martinne Geller, Carmel Crimmins, Noah Barkin and others; Writing by Peter Graff; editing by Anna Willard)",False,46517
39716,"China's Guangdong gets new party boss, former leader likely to be promoted","BEIJING (Reuters) - China on Saturday appointed a new top official for the southern export powerhouse province of Guangdong, whose former leader sources say is likely to be promoted to a vice premier, part of a reshuffle after the end of a Communist Party Congress. President Xi Jinping on Wednesday unveiled a new senior leadership at the end of the twice-a-decade congress, with new members appointed to the three elite party bodies that run China. Over the next few weeks and months, a series of other reshuffles will take place as the party moves people into new party and government positions and as others retire. In a brief statement, the official Xinhua news agency said that Li Xi had been moved from his post as party boss in the northeastern province of Liaoning to run Guangdong province as its party chief, replacing the incumbent, Hu Chunhua. Guangdong, which borders the former British colony of Hong Kong, is one of China s most economically important provinces. Xinhua did not say what position Hu would assume, but sources with ties to the leadership said he is likely to be promoted to become one of China s vice premiers. Hu, who spent a large part of his career working in restive Tibet, had been considered a candidate for the Standing Committee, the seven-man party body that is China s elite ruling body headed by Xi, but failed to make it on. Three sources with leadership ties told Reuters that Jiangsu party boss Li Qiang is tipped to replace Han Zheng as Shanghai party secretary.  Li is (one of) Xi Jinping s men,  one source said. Li, 58, a native of the eastern coastal province of Zhejiang, was secretary general of the provincial party committee under Xi when the latter was Zhejiang party boss from 2002 to 2007. Li will be a strong contender to be further promoted to the Standing Committee at the next congress in 2022, another source said.  He was appointed to the 25-member Politburo, which is under the Standing Committee, on Wednesday. Former Shanghai leader Han, 63, is likely to become executive or first ranked vice premier next March at the annual meeting of parliament, the sources said.  The State Council Information Office, which doubles as the party s spokesman s office, did not immediately respond to a request for comment. ",False,46084
16398,TRUMP SLAMS OBAMA AND VOWS To Undo Cuban Policy,"Last year Obama added an action to his manifesto that would forever put him in the cross-hairs of Americans nationwide when he announced that he would be normalizing diplomatic relations with Communist-Cuba. Cuban-Americans were deeply offended and angered that Obama would extend the hand of friendship to the very regime that ha tortured and murdered their family members for years simply for having an opinion.Here are just a few facts from Obamas Policy on Cuba:*General tourist travel is still prohibited, but Americans authorized to visit Cuba for any of a dozen specific reasons can do so without first obtaining a special license from the government. The 12 categories of acceptable travel include family visits, official visits, journalistic, professional, educational and religious activities, and public performances.*Licensed U.S. travelers to Cuba can use credit cards and spend money in the country, and are able to import $400 worth of goods from Cuba, including up to $100 in tobacco and alcohol products. *Americans can send more money to Cubans, up to $2,000 every three months instead of the $500 currently permitted. *U.S. citizens can bring home small amounts of Cuban cigars. *U.S. companies will be able to export cell phones, televisions, memory and recording devices, computers and software to Cuba. Cuba is known to have poor Internet and telecommunications infrastructure.Thankfully in Miami on Friday, Trump announced at his rally that when elected he would be undoing that order unless Cuba met OUR demands first.Trump promised to  stand with the Cuban people in their fight against communist oppression  and condemned Obama s  concessions  to the Castro regime. All of the concessions that Barack Obama has granted the Castro regime were done through executive order, which means the next president can reverse them, and that, I will do, unless the Castro regime meets our demands   not my demands, our demands.  Obama can t really seem to shock us anymore however, he has made deals and woven ties with numerous terroristic countries over his 8 years in office, and yet we still see no actually improvement in our own country. January 2017 will be a blessing for sure.H/T [ Conservative Tribune ]",True,54889
29686,Under Secretary of State Shannon meets Tillerson: U.S. official,"WASHINGTON (Reuters) - U.S. Under Secretary of State for Political Affairs Tom Shannon met with U.S. President-elect Donald Trump’s Secretary of State nominee Rex Tillerson on Thursday, a senior State Department official said. The brief meeting took place at the Washington transition offices just hours before U.S. Secretary of State John Kerry is set to step down and depart the State Department. Earlier Thursday, Trump’s spokesman said Shannon was asked to stay on, at least temporarily. The Senate Foreign Relations Committee is expected to vote as soon as Monday to approve Tillerson as new secretary of state. (This story corrects to say Under Secretary of State for Political Affairs Tom Shannon, not U.S. Secretary of State John Kerry, met with Tillerson) ",False,59913
